1-n,InstanceID,BomberA,BomberB,FighterA,FighterB,Tanker,ISRDrone,Satellite,TotalCost,AcquisitionRiskRaw,AcquisitionRisk,RiskToMissionRaw,RiskToForceRaw,RiskToMission,RiskToForce,TotalRisk,ProbabilityOfSuccess,ForcePackage,RiskToCostRatio
1,SIM_0001,37,39,523,958,15,277,381,339365,1.0,0.3055555555555555,10.0,8.0,0.01,0.99,0.3103353552151932,0.69,"37x BomberA, 39x BomberB, 523x FighterA, 958x FighterB, 15x Tanker, 277x ISRDrone, 381x Satellite",0.91445893
2,SIM_0002,12,9,1005,1012,14,75,213,305845,1.0,0.24999999999999992,10.0,8.0,0.01,0.99,0.27395633032154615,0.73,"12x BomberA, 9x BomberB, 1005x FighterA, 1012x FighterB, 14x Tanker, 75x ISRDrone, 213x Satellite",0.89573585
3,SIM_0003,9,39,532,890,4,156,117,226175,1.0,0.5138888888888891,10.0,8.0,0.01,0.99,0.4467566985663696,0.55,"9x BomberA, 39x BomberB, 532x FighterA, 890x FighterB, 4x Tanker, 156x ISRDrone, 117x Satellite",1.97527003
4,SIM_0004,35,29,31,238,14,266,839,338705,1.0,0.6388888888888888,10.0,8.0,0.513888888888889,0.99,0.858567260362454,0.14,"35x BomberA, 29x BomberB, 31x FighterA, 238x FighterB, 14x Tanker, 266x ISRDrone, 839x Satellite",2.53485263
5,SIM_0005,39,0,1167,192,34,236,161,256350,1.0,0.9027777777777777,10.0,8.0,0.01,0.99,0.7014098728218987,0.3,"39x BomberA, 1167x FighterA, 192x FighterB, 34x Tanker, 236x ISRDrone, 161x Satellite",2.7361415
6,SIM_0006,4,15,574,480,8,173,239,214915,1.0,0.29166666666666663,10.0,8.0,0.15277777777777776,0.99,0.39473469296845426,0.61,"4x BomberA, 15x BomberB, 574x FighterA, 480x FighterB, 8x Tanker, 173x ISRDrone, 239x Satellite",1.83670145
7,SIM_0007,21,17,939,841,9,82,752,451005,1.0,0.18055555555555572,10.0,8.0,0.01,0.99,0.2284825492044875,0.77,"21x BomberA, 17x BomberB, 939x FighterA, 841x FighterB, 9x Tanker, 82x ISRDrone, 752x Satellite",0.50660757
8,SIM_0008,4,7,758,744,40,5,419,304235,1.0,0.3055555555555555,10.0,8.0,0.01,0.99,0.3103353552151932,0.69,"4x BomberA, 7x BomberB, 758x FighterA, 744x FighterB, 40x Tanker, 5x ISRDrone, 419x Satellite",1.02005146
9,SIM_0009,13,39,727,551,15,104,472,321675,1.0,0.3472222222222222,10.0,8.0,0.01,0.99,0.3376196238854285,0.66,"13x BomberA, 39x BomberB, 727x FighterA, 551x FighterB, 15x Tanker, 104x ISRDrone, 472x Satellite",1.04956749
10,SIM_0010,36,20,938,154,47,6,718,381660,1.0,0.5138888888888891,10.0,8.0,0.01,0.99,0.4467566985663696,0.55,"36x BomberA, 20x BomberB, 938x FighterA, 154x FighterB, 47x Tanker, 6x ISRDrone, 718x Satellite",1.17056201
11,SIM_0011,37,18,362,786,40,164,814,417100,1.0,0.24999999999999992,10.0,8.0,0.041666666666666706,0.99,0.29469237451092495,0.71,"37x BomberA, 18x BomberB, 362x FighterA, 786x FighterB, 40x Tanker, 164x ISRDrone, 814x Satellite",0.70652691
12,SIM_0012,2,6,781,376,51,85,584,327300,1.0,0.3194444444444444,10.0,8.0,0.01,0.99,0.3194301114386049,0.68,"2x BomberA, 6x BomberB, 781x FighterA, 376x FighterB, 51x Tanker, 85x ISRDrone, 584x Satellite",0.97595512
